iter	MultiClass
151	0.221284611
152	0.221051196
153	0.220794737
154	0.2186158573
155	0.2174257246
156	0.2171639735
157	0.2165679063
158	0.2163282932
159	0.216134646
160	0.2159047985
161	0.2150422717
162	0.2139823782
163	0.2137780843
164	0.2134936923
165	0.2131168467
166	0.2117394198
167	0.2111693763
168	0.2099937544
169	0.2097736331
170	0.2081600559
171	0.2063156106
172	0.2054587507
173	0.2052275068
174	0.2039308823
175	0.2035930506
176	0.2032584414
177	0.202211188
178	0.2002242011
179	0.1990632097
180	0.1988193597
181	0.197882978
182	0.1973881355
183	0.1972505625
184	0.1966533568
185	0.1964191716
186	0.1957551541
187	0.1949723602
188	0.194733508
189	0.1937108999
190	0.1933774461
191	0.1926616602
192	0.1920655667
193	0.1912096193
194	0.1910653186
195	0.1907937738
196	0.1898472985
197	0.1888952361
198	0.1886025416
199	0.187953887
200	0.1872634613
201	0.1857526509
202	0.185182698
203	0.1849839897
204	0.1840473629
205	0.1831403658
206	0.1824913942
207	0.1821460909
208	0.1819183938
209	0.1816619164
210	0.1802203089
211	0.1799809016
212	0.1793407897
213	0.1790866356
214	0.1776799808
215	0.1773563187
216	0.1772387519
217	0.1764958329
218	0.1762694919
219	0.1756533078
220	0.1754452114
221	0.1749029719
222	0.1741432967
223	0.1738842422
224	0.1737309732
225	0.1735995497
226	0.1730517098
227	0.1725518127
228	0.1720809103
229	0.1718763931
230	0.1713374827
231	0.1706898583
232	0.1705067786
233	0.1703289777
234	0.1699763983
235	0.1691923482
236	0.1688999339
237	0.1686504699
238	0.1685107412
239	0.1674148674
240	0.1673346965
241	0.1669150654
242	0.1665487153
243	0.16636648
244	0.1657156807
245	0.1648836688
246	0.1647613486
247	0.1646498375
248	0.1640126471
249	0.1639014061
250	0.1636213834
251	0.1631427638
252	0.1626910597
253	0.1625917291
254	0.1621623026
255	0.1620282503
256	0.1618765283
257	0.1616086982
258	0.1611255157
259	0.1603793165
260	0.1599934831
261	0.1593760964
262	0.1591603022
263	0.158646339
264	0.1584991607
265	0.1574740574
266	0.1565344291
267	0.1559360299
268	0.1558103296
269	0.1557021028
270	0.1551348427
271	0.1546508807
272	0.1541899871
273	0.1540561743
274	0.1537157207
275	0.153648161
276	0.1534499505
277	0.1533258252
278	0.1527451072
279	0.1521805228
280	0.1520688638
281	0.151168058
282	0.1510415911
283	0.1503813538
284	0.1502339846
285	0.1491706126
286	0.1483252754
287	0.1482148942
288	0.1480966421
289	0.1476002236
290	0.1475175626
291	0.147225521
292	0.1469887748
293	0.1466064541
294	0.1463931052
295	0.1462369171
296	0.1460255076
297	0.1458891109
298	0.1454877904
299	0.1453725134
300	0.1451370478
301	0.1450412532
302	0.1449439798
303	0.1443726941
304	0.1435653415
305	0.1434424293
306	0.1430088227
307	0.1428725453
308	0.1426818483
309	0.1425480956
310	0.1421542922
311	0.141454161
312	0.1413710901
313	0.1411616147
314	0.140612069
315	0.1402897784
316	0.1402244201
317	0.1396658792
318	0.1395724269
319	0.1389429552
320	0.1383408389
321	0.1382429219
322	0.1375490495
323	0.1371306293
324	0.1364744833
325	0.1361134459
326	0.1358674258
327	0.1351596373
328	0.1349493558
329	0.1347481524
330	0.1346596984
331	0.1344077428
332	0.1339047194
333	0.1334875717
334	0.1334400289
335	0.1332436131
336	0.1331454319
337	0.1329622501
338	0.1327932475
339	0.1320329751
340	0.1319104653
341	0.1316340685
342	0.1314709626
343	0.1312283641
344	0.1310977039
345	0.1306409067
346	0.1303558579
347	0.1299599157
348	0.1298480645
349	0.1296325756
350	0.1293389582
351	0.1288483977
352	0.1281883674
353	0.128077122
354	0.1280157272
355	0.1278611611
356	0.1276240591
357	0.1274770938
358	0.1273204799
359	0.1268446769
360	0.1267117676
361	0.1266403802
362	0.1265775433
363	0.1264660557
364	0.1263958784
365	0.126160755
366	0.1257784359
367	0.125634921
368	0.1254907796
369	0.1249413274
370	0.1248562326
371	0.1247817552
372	0.1246584789
373	0.1241939578
374	0.1241152718
375	0.1240346992
376	0.1239507563
377	0.1237304556
378	0.1230366594
379	0.1229490415
380	0.1228848457
381	0.1227731176
382	0.1226871006
383	0.1222736048
384	0.1221318339
385	0.1220334517
386	0.1218183286
387	0.1217383188
388	0.1215066775
389	0.1210022379
390	0.1201921867
391	0.120115111
392	0.1200533952
393	0.1199530226
394	0.1195343281
395	0.1194689093
396	0.1191323971
397	0.1188976771
398	0.1185342542
399	0.118129403
400	0.1174810516
401	0.1168667386
402	0.1167237635
403	0.1164707436
404	0.1162998061
405	0.1162347605
406	0.1158830462
407	0.1155640039
408	0.1154772916
409	0.1153099685
410	0.1152356244
411	0.1151883836
412	0.1151174914
413	0.1150656554
414	0.1149976232
415	0.114912534
416	0.1148323412
417	0.114763656
418	0.1146844139
419	0.1146164346
420	0.1145207199
421	0.1143839898
422	0.1139568866
423	0.1135692008
424	0.1135368247
425	0.1132004658
426	0.1129210259
427	0.1128865779
428	0.1128239529
429	0.1127619783
430	0.1127059026
431	0.1126657822
432	0.1126206776
433	0.1122411243
434	0.1121658421
435	0.1120170915
436	0.111953387
437	0.1118658219
438	0.1117635578
439	0.1115891942
440	0.1110322391
441	0.1109436409
442	0.1105876595
443	0.1103652248
444	0.11032319
445	0.1099435233
446	0.1096610661
447	0.1093235554
448	0.1090714335
449	0.1089537179
450	0.1088965306
451	0.1087823213
452	0.1087345266
453	0.1086612711
454	0.1081570341
455	0.1079200741
456	0.1078724128
457	0.1077898687
458	0.107751393
459	0.1074470393
460	0.1069490922
461	0.1068003451
462	0.1066492082
463	0.1062140142
464	0.1061721614
465	0.1061384998
466	0.1061027824
467	0.1059259055
468	0.1058527967
469	0.1054276907
470	0.1051399874
471	0.1050906777
472	0.1050430271
473	0.1049910854
474	0.1047227117
475	0.1046315226
476	0.1045997033
477	0.1045036064
478	0.1039918264
479	0.1038418735
480	0.1038024061
481	0.10333631
482	0.1032062205
483	0.1030237741
484	0.1029737095
485	0.1027302608
486	0.1027012813
487	0.102638281
488	0.1026036808
489	0.1022804228
490	0.1022103197
491	0.1021334509
492	0.1017698755
493	0.1015213779
494	0.1014777126
495	0.1011669406
496	0.1007068712
497	0.1004184043
498	0.09989862817
499	0.09985549437
500	0.09954433082
501	0.09934073782
502	0.09929916304
503	0.09916988916
504	0.09909158879
505	0.09890682708
506	0.09885864921
507	0.09878236314
508	0.09875193432
509	0.09862282852
510	0.09858942582
511	0.09819413447
512	0.09799509066
513	0.09795565899
514	0.09792291845
515	0.09770611792
516	0.09741398282
517	0.09736165077
518	0.09701507211
519	0.09692558284
520	0.09677063912
521	0.09656740417
522	0.09648504755
523	0.09620595641
524	0.09615120589
525	0.09609292863
526	0.09603775848
527	0.09597831648
528	0.09576337916
529	0.09572524168
530	0.09552494281
531	0.09545026422
532	0.09539474145
533	0.09534014141
534	0.09529036657
535	0.09506476959
536	0.09461670311
537	0.09446530723
538	0.09428896049
539	0.09422518052
540	0.09419990484
541	0.09401420511
542	0.09394366806
543	0.09377768762
544	0.09372402799
545	0.09335597945
546	0.09325064841
547	0.09318871673
548	0.0931438103
549	0.09276517387
550	0.09249665717
551	0.09229182298
552	0.0921208634
553	0.09146304
554	0.09140138021
555	0.09116759593
556	0.09076913973
557	0.0905025986
558	0.09037597926
559	0.09026569323
560	0.09016267783
561	0.09012485125
562	0.08983683037
563	0.08935865369
564	0.08928347536
565	0.08923974809
566	0.08902302818
567	0.08879946089
568	0.08877461325
569	0.08874757839
570	0.0884564182
571	0.08827274034
572	0.08824633264
573	0.08821883683
574	0.08785308214
575	0.08781347278
576	0.0875637095
577	0.08748720081
578	0.08743788703
579	0.08705969858
580	0.08697439577
581	0.08690424618
582	0.08668674069
583	0.08644452396
584	0.08636117565
585	0.08623622736
586	0.08620004177
587	0.08617079781
588	0.08583782058
589	0.08568407317
590	0.08541024738
591	0.08494322936
592	0.08489438351
593	0.0848612153
594	0.08483703392
595	0.08479336276
596	0.08448698637
597	0.08397181071
598	0.08393637133
599	0.08371617901
600	0.08355369406
601	0.0835054286
602	0.08346729341
603	0.08314019411
604	0.08310504742
605	0.08293190255
606	0.08277859024
607	0.08273563428
608	0.0824762516
609	0.08227139711
610	0.0821384645
611	0.08188074488
612	0.08166181726
613	0.08150210045
614	0.08132744862
615	0.08128059712
616	0.08070121707
617	0.08064919869
618	0.08045312608
619	0.08041090795
620	0.08038278653
621	0.08023939521
622	0.07996275238
623	0.07977227324
624	0.07973957343
625	0.07969890418
626	0.07967060738
627	0.07959421754
628	0.07937296067
629	0.07912827194
630	0.07892421036
631	0.0788142301
632	0.0786269459
633	0.07849590864
634	0.07828036299
635	0.07792984956
636	0.07748995089
637	0.07729382026
638	0.07724569904
639	0.0772217673
640	0.0771934762
641	0.0771472067
642	0.0771119915
643	0.07697466098
644	0.07694008015
645	0.0767736256
646	0.07675061466
647	0.07672796748
648	0.07667925841
649	0.0766608152
650	0.07664007002
651	0.07659057413
652	0.07630002171
653	0.07626231491
654	0.07621009375
655	0.07609467946
656	0.07606195638
657	0.07600136947
658	0.07573180922
659	0.07568191029
660	0.07564168539
661	0.07533538937
662	0.07529635726
663	0.07526887215
664	0.07524360541
665	0.07522536526
666	0.0751949723
667	0.07510034685
668	0.07507471525
669	0.07505252722
670	0.074922524
671	0.07476851646
672	0.07473783368
673	0.07467930445
674	0.07466172838
675	0.07464142714
676	0.07462227581
677	0.07459464917
678	0.07454932342
679	0.07452360998
680	0.07448334344
681	0.07444150993
682	0.0742176121
683	0.07416249684
684	0.07390880986
685	0.07387988
686	0.07384142306
687	0.07369531637
688	0.07366958711
689	0.07364502123
690	0.07354720087
691	0.07351873635
692	0.07349503973
693	0.07336722097
694	0.07334087436
695	0.07315420351
696	0.07302319919
697	0.07291798777
698	0.07274962511
699	0.07271485575
700	0.07267503446
701	0.07265306146
702	0.07262855932
703	0.07258527138
704	0.07255177314
705	0.07238679376
706	0.07234243446
707	0.07230428475
708	0.07206267179
709	0.07197417398
710	0.07195199276
711	0.0719252812
712	0.07182701972
713	0.07179635272
714	0.07167007325
715	0.07165057162
716	0.07161752347
717	0.07159047104
718	0.07156227183
719	0.07141277371
720	0.07117553101
721	0.07114468738
722	0.07093680009
723	0.07091674889
724	0.070860899
725	0.07084014297
726	0.07080027489
727	0.07076106259
728	0.07061535215
729	0.07034156632
730	0.07031213052
731	0.07025697808
732	0.0702312446
733	0.07004048965
734	0.06987076035
735	0.06982862547
736	0.06980175131
737	0.06975200222
738	0.06953441614
739	0.06951495024
740	0.06949952843
741	0.06938128455
742	0.06936022667
743	0.06929663115
744	0.0692708932
745	0.06923503452
746	0.0690923369
747	0.06882766063
748	0.06880565425
749	0.06878086196
750	0.06874552886
751	0.06856621025
752	0.06848925445
753	0.06843061483
754	0.06826905133
755	0.06823923533
756	0.06822135401
757	0.06819744665
758	0.06805391357
759	0.06769990858
760	0.06766232136
761	0.0676308254
762	0.06741690196
763	0.06740251162
764	0.06738596094
765	0.06725050276
766	0.06706374816
767	0.06700879598
768	0.06693418765
769	0.06689271328
770	0.06668176257
771	0.06655801709
772	0.06641613452
773	0.06635834087
774	0.06631261264
775	0.06629846824
776	0.06616032137
777	0.06612706562
778	0.06610447628
779	0.06601666913
780	0.0659834081
781	0.06596640396
782	0.06594640882
783	0.06565786127
784	0.06563401117
785	0.06561285007
786	0.06555352522
787	0.06536525906
788	0.06520647277
789	0.0651086644
790	0.06509267404
791	0.06505909757
792	0.0650122445
793	0.06498395575
794	0.06494105429
795	0.06491449989
796	0.06483044441
797	0.0648152973
798	0.06479358855
799	0.0647518257
800	0.06446078935
801	0.06433717387
802	0.0643024299
803	0.06426923397
804	0.06424215112
805	0.06415491333
806	0.0641382884
807	0.06411768901
808	0.06406604392
809	0.06404915795
810	0.06400821207
811	0.06393584906
812	0.06376575636
813	0.06374675649
814	0.06373272276
815	0.06358213495
816	0.06350412007
817	0.0631966234
818	0.06300701019
819	0.0627876381
820	0.06261566988
821	0.06243942911
822	0.06241227131
823	0.06239450158
824	0.06227171373
825	0.06224802839
826	0.0622304005
827	0.06220266449
828	0.06202816974
829	0.06197609687
830	0.06195452962
831	0.06192778043
832	0.06184219992
833	0.06167671474
834	0.06154685351
835	0.06136244484
836	0.06135014667
837	0.06133660487
838	0.06120990304
839	0.06101019338
840	0.06093481218
841	0.06092114527
842	0.06084704973
843	0.06082374367
844	0.06069442064
845	0.06067733025
846	0.06063591526
847	0.06057371465
848	0.0605409073
849	0.06048615376
850	0.06047446668
851	0.06033908642
852	0.06032082892
853	0.06022735353
854	0.06020418381
855	0.06017545829
856	0.06009711391
857	0.06008017633
858	0.06000125687
859	0.05994933086
860	0.05992813011
861	0.05986415886
862	0.05981030402
863	0.05959407269
864	0.05958233488
865	0.05956246872
866	0.05946068873
867	0.05942066482
868	0.05934447564
869	0.05919425777
870	0.05917932003
871	0.059144943
872	0.05901943416
873	0.05892964266
874	0.05890923713
875	0.05889412182
876	0.05888407363
877	0.05877445192
878	0.05863546102
879	0.05851230398
880	0.05848257491
881	0.05839839597
882	0.0583069874
883	0.05829435593
884	0.05827539438
885	0.0581610815
886	0.05814624785
887	0.05812276738
888	0.05810888214
889	0.05807609836
890	0.05789547326
891	0.05776183441
892	0.05774790817
893	0.057724691
894	0.05771052348
895	0.05763460946
896	0.05761063332
897	0.05757370132
898	0.0574250435
899	0.0573913784
900	0.05737690313
901	0.05733295324
902	0.05702018105
903	0.05699579144
904	0.05697788545
905	0.05689168611
906	0.05685360556
907	0.05681102796
908	0.05677663897
909	0.05673975202
910	0.05655401432
911	0.05654249902
912	0.05652499756
913	0.05645730471
914	0.05638905625
915	0.05631068349
916	0.05628270244
917	0.05616170464
918	0.05613693167
919	0.0560421241
920	0.05602329962
921	0.05600756519
922	0.05592551593
923	0.05589055934
924	0.05586781422
925	0.05571599619
926	0.05568880307
927	0.05566206784
928	0.05560209893
929	0.05558862609
930	0.05556963588
931	0.05555709566
932	0.05542412982
933	0.05540852842
934	0.0553116571
935	0.05529355008
936	0.05514620336
937	0.05504153665
938	0.05500691435
939	0.05497164438
940	0.0549308449
941	0.05484814146
942	0.05483258238
943	0.05477081634
944	0.05469932614
945	0.05452232826
946	0.05450060578
947	0.05442768915
948	0.0544058043
949	0.05435463011
950	0.05432565728
951	0.05430733133
952	0.05429036899
953	0.05414778815
954	0.05410334744
955	0.05400005952
956	0.0539791546
957	0.0539273045
958	0.05385706601
959	0.05381059227
960	0.05378676887
961	0.05376985442
962	0.05374124499
963	0.05372461422
964	0.05363355388
965	0.05362341619
966	0.05353342618
967	0.0534483463
968	0.05337357084
969	0.05326014886
970	0.05312391167
971	0.05309833893
972	0.05307152892
973	0.05294525927
974	0.05292817312
975	0.05291216372
976	0.05279962563
977	0.0527825494
978	0.05275451733
979	0.05263116822
980	0.05252569211
981	0.05251089917
982	0.05249145796
983	0.05245596141
984	0.052423724
985	0.05232260609
986	0.05230209621
987	0.05229452696
988	0.05228154062
989	0.05218362174
990	0.05216587287
991	0.0521216053
992	0.05199984549
993	0.05198639823
994	0.05196620781
995	0.05193850687
996	0.05192557739
997	0.05189547793
998	0.05188085246
999	0.05186030893
